Date,Open,High,Low,Close,Adj Close,Volume
9/1/2015,21.83,22.200001,21.4,21.559999,21.028013,8835200
9/2/2015,22.15,22.219999,21.780001,22.209999,21.661974,8601100
9/3/2015,22.540001,22.65,22.23,22.27,21.720499,6563900
9/4/2015,21.889999,22.24,21.74,21.75,21.213327,7199300
9/8/2015,22.280001,22.77,22.190001,22.68,22.120382,5961200
9/9/2015,22.75,22.940001,22.18,22.23,21.681482,7234800
9/10/2015,22.1,22.860001,22,22.58,22.022848,8926900
9/11/2015,22.33,22.799999,22.24,22.65,22.091116,7539600
9/14/2015,22.76,22.83,22.57,22.690001,22.130131,4811500
9/15/2015,22.700001,23.059999,22.629999,22.940001,22.373964,8199400
9/16/2015,22.9,23.23,22.73,23.1,22.530014,4337700
9/17/2015,23.5,23.709999,23.26,23.309999,22.734831,6717800
9/18/2015,22.99,23.49,22.85,23.290001,22.715324,8160300
9/21/2015,23.32,23.58,23.200001,23.530001,22.949408,7046000
9/22/2015,23.02,23.18,22.77,22.889999,22.325201,5708900
9/23/2015,22.91,23.139999,22.82,23,22.432489,4040800
9/24/2015,22.860001,23.68,22.5,23.440001,22.861626,9561000
9/25/2015,23.73,24.07,23.379999,23.610001,23.027428,9242300
9/28/2015,23.610001,23.76,23.15,23.299999,22.725079,9889600
9/29/2015,23.549999,23.75,23.219999,23.709999,23.124962,9518400
9/30/2015,23.93,24.68,23.790001,24.65,24.041771,13909500
10/1/2015,24.65,24.719999,23.469999,24.17,23.573616,12232400
10/2/2015,24.040001,24.799999,23.790001,24.799999,24.18807,9653600
10/5/2015,24.959999,25.73,24.83,25.42,24.792774,12050600
10/6/2015,25.15,25.860001,25.049999,25.75,25.114628,11330400
10/7/2015,25.809999,26.280001,25.389999,26.02,25.377966,7753800
10/8/2015,25.91,26.24,25.469999,26.17,25.524263,11501700
10/9/2015,26.030001,26.280001,25.58,26.07,25.426729,10581200
10/12/2015,26.1,26.5,25.91,26.35,25.699823,5689700
10/13/2015,26.139999,26.559999,26.049999,26.4,25.748589,7461100
10/14/2015,26.43,27.790001,26.4,27.360001,26.684906,15303700
10/15/2015,27.41,27.99,27.129999,27.43,26.753178,13151200
10/16/2015,27.52,28.120001,27.450001,27.860001,27.172567,11209900
10/19/2015,27.950001,28.08,27.49,27.809999,27.123798,7367800
10/20/2015,27.690001,27.9,27.48,27.77,27.084782,6620600
10/21/2015,27.940001,28.110001,27.360001,27.41,26.733667,9657000
10/22/2015,27.73,28.49,27.690001,28.4,27.699245,7672100
10/23/2015,28.65,28.780001,28.219999,28.59,27.884554,9544400
10/26/2015,28.610001,28.68,28.200001,28.459999,27.757757,6185900
10/27/2015,28.32,28.620001,28.299999,28.440001,27.738253,5206700
10/28/2015,28.620001,28.67,28.200001,28.67,27.96258,5425900
10/29/2015,28.209999,28.5,27.629999,27.68,26.997004,8179200
10/30/2015,27.98,28.57,27.77,28.370001,27.669979,7529000
11/2/2015,28.459999,28.73,28.290001,28.700001,27.991842,4752200
11/3/2015,28.530001,28.690001,28.18,28.5,27.796774,9419200
11/4/2015,28.42,28.629999,27.9,28.030001,27.338373,11056600
11/5/2015,28.17,28.25,27.629999,27.709999,27.026268,11970000
11/6/2015,30.450001,31.940001,29.82,31.549999,30.771515,29306800
11/9/2015,31.24,31.5,30.969999,31.41,30.63497,12314200
11/10/2015,31,31.17,30.15,30.809999,30.049774,13806500
11/11/2015,30.83,31.049999,30.4,30.51,29.757179,15497400
11/12/2015,30.440001,30.719999,30.27,30.4,29.649893,7277000
11/13/2015,30.43,30.559999,29.65,29.799999,29.06469,7323500
11/16/2015,30.190001,30.42,29.950001,30.4,29.649893,8607000
11/17/2015,30.48,30.66,30.27,30.4,29.649893,6426200
11/18/2015,30.41,31.07,30.08,31.030001,30.379269,8755400
11/19/2015,31.139999,31.43,30.889999,31.120001,30.467377,6351800
11/20/2015,31.35,31.57,31.16,31.389999,30.73172,5993600
11/23/2015,31.65,31.65,30.809999,30.92,30.271574,6063800
11/24/2015,30.92,31.440001,30.780001,31.17,30.516333,4885700
11/25/2015,31.110001,31.48,31.02,31.129999,30.477171,3457500
11/27/2015,31.190001,31.49,31.030001,31.389999,30.73172,2174900
11/30/2015,31.42,31.860001,31.389999,31.719999,31.054798,8181100
12/1/2015,32,32.779999,31.969999,32.75,32.063198,10237400
12/2/2015,32.799999,33.139999,32.43,32.5,31.818443,7356000
12/3/2015,32.759998,33.099998,32.27,32.43,31.749903,6166400
12/4/2015,32.43,33.810001,32.43,33.75,33.042225,11468900
12/7/2015,33.740002,33.740002,33.009998,33.110001,32.415642,8339700
12/8/2015,32.700001,33.700001,32.490002,33.560001,32.856205,7862200
12/9/2015,33.549999,33.75,32.369999,32.709999,32.02404,9316900
12/10/2015,32.810001,33.16,32.700001,32.98,32.288372,5914900
12/11/2015,32.650002,32.880001,32.419998,32.490002,31.808651,5683000
12/14/2015,32.52,32.75,32.18,32.57,31.886969,6897300
12/15/2015,32.939999,33.200001,32.759998,32.970001,32.278587,7682400
12/16/2015,33.040001,33.279999,32.75,33.169998,32.474384,5908900
12/17/2015,33.220001,33.560001,32.650002,32.669998,31.984875,6354000
12/18/2015,32.439999,32.77,32.099998,32.139999,31.46599,9897400
12/21/2015,32.490002,32.93,32.200001,32.900002,32.210056,7105400
12/22/2015,33,33.259998,32.73,32.93,32.239422,3250300
12/23/2015,32.98,33.189999,32.919998,33.060001,32.366699,3063100
12/24/2015,32.959999,33.25,32.91,33.169998,32.474384,1311200
12/28/2015,32.82,33.139999,32.360001,33.139999,32.445023,3550600
12/29/2015,33.16,33.779999,33.07,33.68,32.97369,5091500
