sale_price,sq_ft,acreage
273800,2051,0.16
350000,2052,0.14
280000,2057,0.17
340000,2059,0.17
255000,2061,0.13
346600,2063,0.14
308700,2064,0.1
296700,2064,0.1
300200,2064,0.11
220000,2066,0.15
239000,2066,0.2
179900,2069,0.12
286400,2069,0.13
257000,2070,0.13
258000,2070,0.15
259900,2070,0.21
299900,2072,0.14
280100,2073,0.14
270000,2077,0.21
305000,2080,0.15
204500,2084,0.06
295000,2084,0.16
240500,2085,0.18
295000,2091,0.13
248000,2091,0.16
290000,2091,0.17
235800,2091,0.19
290000,2092,0.23
292500,2102,0.52
300000,2107,0.15
220000,2108,0.25
280000,2122,0.24
307900,2128,0.1
310100,2128,0.1
294000,2128,0.1
305000,2128,0.1
285700,2128,0.1
303800,2128,0.1
288500,2128,0.1
289000,2128,0.1
275700,2128,0.1
325000,2128,0.11
300200,2128,0.11
279500,2128,0.11
289900,2128,0.14
275000,2128,0.16
308500,2128,0.17
228000,2133,0.11
231000,2140,0.14
285000,2144,0.1
274000,2144,0.13
265000,2145,0.13
272500,2145,0.13
290000,2148,0.1
280200,2148,0.1
281500,2148,0.1
281200,2148,0.11
264100,2148,0.12
300500,2156,0.11
282600,2156,0.12
260000,2156,0.26
271000,2159,0.25
278000,2161,0.14
298900,2165,0.26
265000,2166,0.17
282000,2166,0.18
239000,2168,0.17
315000,2172,0.29
301000,2173,0.26
233000,2178,0.15
319000,2180,0.31
300000,2183,0.13
300000,2183,0.33
70000,2189,0.24
225000,2190,0.15
200000,2191,0.15
324000,2191,0.19
274500,2191,0.21
260000,2194,0.16
328000,2196,0.18
319000,2196,0.31
267000,2200,0.22
220000,2203,0.21
257000,2203,0.25
335000,2203,0.64
292300,2204,0.15
251500,2204,0.2
221000,2205,0.15
290000,2206,0.34
272000,2208,0.14
285000,2208,0.15
227000,2208,0.19
325000,2208,1.03
307000,2210,0.21
367800,2213,0.17
406700,2213,0.2
394600,2213,0.23
217000,2215,0.13
225000,2215,0.14
318000,2218,0.14
261000,2220,0.1
284900,2220,0.15
305000,2222,0.18
257500,2222,0.19
363100,2224,0.15
330000,2226,0.18
375000,2227,0.15
210000,2227,0.37
205000,2228,0.18
65500,2228,0.19
342000,2228,0.37
336000,2229,0.14
276000,2229,0.14
289900,2229,0.16
260000,2230,0.46
305000,2232,0.25
282000,2233,0.17
272900,2237,0.21
288000,2238,0.74
249900,2239,0.57
230000,2240,0.19
317000,2250,0.17
275000,2257,0.18
345000,2262,0.41
228000,2263,0.2
270000,2265,0.1
283000,2268,0.14
260000,2273,0.13
260000,2273,0.24
307300,2274,0.21
357000,2274,0.27
300000,2275,0.16
293000,2275,0.16
296700,2276,0.1
173000,2280,1.3
298000,2281,0.26
300000,2281,0.35
229900,2283,0.15
243000,2285,0.2
275000,2287,0.22
300000,2293,0.3
293000,2296,0.09
291000,2296,0.1
268000,2296,0.1
246000,2297,0.17
275800,2300,0.09
266900,2300,0.09
337000,2300,0.15
320000,2300,0.35
300000,2304,0.1
348000,2308,0.31
309000,2310,0.24
295000,2312,0.1
349900,2314,0.2
285000,2315,0.17
268300,2316,0.09
340000,2316,0.25
273000,2319,0.21
239900,2321,0.16
319900,2322,0.2
350000,2322,0.21
305000,2326,0.21
224000,2327,0.18
265500,2327,0.28
267500,2328,0.13
280000,2328,0.19
250000,2336,0.08
250000,2340,0.16
251000,2343,0.17
285000,2344,0.09
273000,2344,0.1
300000,2352,0.1
325000,2356,0.34
279500,2358,0.2
288600,2359,0.2
365000,2360,0.11
321100,2360,0.11
335500,2360,0.5
202000,2367,0.23
329000,2375,0.11
455000,2376,0.27
299900,2377,1.16
297000,2378,0.22
280800,2381,0.17
330000,2382,0.15
290800,2382,0.16
307000,2382,0.21
324000,2388,0.11
293000,2388,0.17
299000,2390,0.19
284000,2391,0.1
306800,2395,0.17
315300,2395,0.19
352500,2395,0.21
295000,2397,0.19
365000,2398,0.16
294000,2399,0.19
278000,2400,0.15
350000,2400,0.16
303800,2400,0.16
279200,2400,0.16
319400,2400,0.17
