timestamp,open,high,low,close,volume
7/17/2020 4:45,247.02,247.02,247.02,247.02,109
7/17/2020 6:30,246,246,246,246,199
7/17/2020 7:15,247,247,247,247,942
7/17/2020 7:30,247,247,246.5,246.5,500
7/17/2020 7:45,246.5,246.5,246.17,246.17,503
7/17/2020 8:15,246.875,247.4499,246.14,247.4499,16815
7/17/2020 8:30,246.17,247.45,246.17,247.27,2247
7/17/2020 8:45,246.3234,246.35,245.8,245.8,2657
7/17/2020 9:00,245.2,245.5,245.2,245.2,1419
7/17/2020 9:15,245.8,246.56,245.72,246.56,8798
7/17/2020 9:30,246.89,247.45,246.51,246.51,9612
7/17/2020 9:45,247.17,250.9368,245.91,246.56,405872
7/17/2020 10:00,246.3,247.34,245.1,246.35,277073
7/17/2020 10:15,246.3784,246.8299,244.4755,244.4755,266400
7/17/2020 10:30,244.52,244.99,241.89,242.3477,319294
7/17/2020 10:45,242.375,243.44,241.77,241.77,241211
7/17/2020 11:00,241.75,244.75,241.29,243.6,295456
7/17/2020 11:15,243.705,246.44,243.5465,245.2926,287808
7/17/2020 11:30,245.1991,247.18,245.12,246.83,206230
7/17/2020 11:45,246.9169,247.6899,246.16,246.2894,127106
7/17/2020 12:00,246.3216,247.3,245.543,247.25,137158
7/17/2020 12:15,247.25,247.43,246.01,246.43,194092
7/17/2020 12:30,246.31,247.34,245.83,247.1401,115435
7/17/2020 12:45,247.26,248.126,246.885,247.7079,165446
7/17/2020 13:00,247.75,247.815,246.29,246.77,107540
7/17/2020 13:15,246.6201,246.6945,245.5,245.64,93070
7/17/2020 13:30,245.585,246.3638,245.12,245.615,90075
7/17/2020 13:45,245.64,245.95,244.65,244.96,109168
7/17/2020 14:00,245.04,246.11,244.66,245.91,86602
7/17/2020 14:15,245.8755,247.62,245.8755,247.26,115233
7/17/2020 14:30,247.31,247.39,247,247.23,68610
7/17/2020 14:45,247.25,247.6,246.445,247.39,102674
7/17/2020 15:00,247.5,247.81,246.71,246.745,97953
7/17/2020 15:15,246.7287,246.85,246.215,246.78,89985
7/17/2020 15:30,246.85,247.16,246.36,246.4799,108721
7/17/2020 15:45,246.48,246.75,246.25,246.46,133818
7/17/2020 16:00,246.4401,246.73,246.02,246.55,238892
7/17/2020 16:15,246.54,247,245.8955,247,27221
7/17/2020 16:30,246.88,246.88,246.5,246.5,495
7/17/2020 17:00,246.59,246.59,246.59,246.59,100
7/17/2020 17:30,246.9,246.9,246.3,246.3,455
7/17/2020 18:30,246.23,246.23,246.23,246.23,246
