sale_price,sq_ft,acreage
285000,2004,0.21
242500,2006,0.12
289000,2006,0.13
380000,2009,0.25
262000,2009,0.25
278600,2010,0.17
273000,2011,0.13
295000,2014,0.14
251000,2014,0.14
289000,2014,0.17
208000,2014,0.17
291000,2014,0.2
260000,2016,0.15
350000,2019,0.14
259900,2021,0.18
268000,2022,0.1
264000,2022,0.12
259900,2022,0.12
259600,2026,0.14
295200,2026,0.19
373000,2028,0.15
277500,2030,0.14
210000,2030,0.14
246000,2033,0.2
303000,2034,0.15
260000,2034,0.15
293000,2034,0.21
259000,2035,0.33
289500,2036,0.26
205000,2044,0.13
280000,2044,0.42
343300,2046,0.14
341600,2046,0.14
370000,2046,0.15
411900,2046,0.16
375000,2046,0.18
340000,2048,0.16
275000,2048,0.18
346200,2049,0.14
373900,2049,0.18
287700,2051,0.17
360900,2052,0.14
219300,2053,0.13
190000,2054,0.2
230000,2061,0.13
279900,2061,0.2
305000,2062,0.16
335800,2063,0.14
297500,2064,0.1
272000,2064,0.1
285700,2064,0.1
281400,2064,0.1
283700,2064,0.11
270000,2064,0.26
215000,2069,0.13
267300,2069,0.13
235000,2070,0.15
319900,2072,0.15
270000,2074,0.2
265000,2080,0.19
223000,2084,0.21
374000,2090,4.71
260000,2091,0.16
260000,2091,0.19
273000,2092,0.23
285000,2094,0.15
282000,2094,0.19
276000,2101,0.27
217500,2104,0.17
242500,2106,0.17
269900,2115,0.3
81000,2117,0.24
309900,2118,0.16
325000,2118,0.3
272000,2120,0.22
279000,2128,0.09
310000,2128,0.1
306000,2128,0.1
307600,2128,0.1
272000,2128,0.1
305600,2128,0.1
303600,2128,0.1
295400,2128,0.1
294900,2128,0.11
249900,2128,0.14
134000,2128,0.15
306000,2128,0.15
155000,2128,1.94
200000,2130,0.43
262000,2134,0.21
243000,2137,0.14
292000,2137,0.21
376700,2138,0.17
281400,2148,0.1
263900,2148,0.1
269700,2148,0.1
265300,2148,0.1
258000,2154,0.17
245000,2156,0.15
243000,2156,0.2
262000,2159,0.12
416500,2159,0.15
252600,2159,0.27
233000,2164,0.18
275000,2168,0.28
279000,2170,0.14
251900,2170,0.18
318000,2172,0.14
282500,2177,0.15
252000,2178,0.22
315000,2178,0.27
280000,2178,0.27
330000,2179,0.17
369900,2180,2.15
234900,2186,0.17
303600,2188,0.1
259900,2189,0.15
285000,2189,0.24
305000,2189,1.42
260500,2191,0.19
242500,2202,0.3
220000,2203,0.23
315000,2204,0.23
265000,2205,0.18
250000,2206,0.19
315000,2208,0.1
324900,2208,0.15
275000,2210,0.17
335000,2210,0.3
230000,2212,0.13
498700,2213,0.15
