Date,TICKER,Open,High,Low,Close,Adj Close,Volume
4/18/2019,ZM,65,66,60.320999,62,62,25764700
4/22/2019,ZM,61,68.900002,59.939999,65.699997,65.699997,9949700
4/23/2019,ZM,66.870003,74.168999,65.550003,69,69,6786500
4/24/2019,ZM,71.400002,71.5,63.16,63.200001,63.200001,4973500
4/25/2019,ZM,64.739998,66.849998,62.599998,65,65,3863300
4/26/2019,ZM,66.120003,66.989998,63.599998,66.220001,66.220001,1527400
4/29/2019,ZM,66.529999,68.5,64.75,68.169998,68.169998,1822300
4/30/2019,ZM,68.400002,72.519997,66.669998,72.470001,72.470001,4113100
5/1/2019,ZM,72.720001,76.949997,70.816002,72.760002,72.760002,3301900
5/2/2019,ZM,72.75,75.889999,69.691002,75.5,75.5,2525300
5/3/2019,ZM,75,80.25,75,79.18,79.18,2590300
5/6/2019,ZM,75.010002,80.790001,74.5,78.239998,78.239998,2051800
5/7/2019,ZM,77.849998,78.050003,73.25,73.330002,73.330002,1975200
5/8/2019,ZM,74.610001,78.5,74.029999,77.68,77.68,2265500
5/9/2019,ZM,76.849998,76.989998,74,75.209999,75.209999,1348200
5/10/2019,ZM,75.790001,79.739998,74.769997,79.629997,79.629997,1555100
5/13/2019,ZM,77.389999,77.389999,70.599998,72.540001,72.540001,2873200
5/14/2019,ZM,74.120003,76.885002,73.110001,73.139999,73.139999,1950400
5/15/2019,ZM,73.400002,80,72.209999,79.760002,79.760002,2426500
5/16/2019,ZM,80.120003,87.550003,79.25,83.400002,83.400002,4580700
5/17/2019,ZM,82.25,90.279999,81.879997,89.980003,89.980003,3442500
5/20/2019,ZM,90.099998,91.459999,83.269997,84.669998,84.669998,3666800
5/21/2019,ZM,86.629997,89.699997,84.5,85.440002,85.440002,2576000
5/22/2019,ZM,84.629997,85.699997,82,82.43,82.43,1596400
5/23/2019,ZM,81.25,81.5,77.260002,78.760002,78.760002,2856000
5/24/2019,ZM,80.480003,81.25,74.199997,76.25,76.25,2946800
5/28/2019,ZM,76.800003,79.389999,76.800003,77.769997,77.769997,1641300
5/29/2019,ZM,77,77.93,73.583,75.769997,75.769997,1512100
5/30/2019,ZM,76.68,80.970001,76.599998,80.419998,80.419998,1996000
5/31/2019,ZM,78.769997,83.169998,77.779999,79.730003,79.730003,1594300
6/3/2019,ZM,80,81.940002,75.650002,75.900002,75.900002,1570500
6/4/2019,ZM,78.199997,78.879997,76.620003,78.739998,78.739998,1134900
6/5/2019,ZM,80.139999,80.599998,76.239998,78.040001,78.040001,1295800
6/6/2019,ZM,77.400002,79.75,77.029999,79.43,79.43,3024000
6/7/2019,ZM,93.660004,98.889999,92.5,94.050003,94.050003,9487800
6/10/2019,ZM,98.510002,105.985001,96,102,102,4852800
6/11/2019,ZM,101,101.199997,91.57,94.870003,94.870003,4372400
6/12/2019,ZM,94.599998,104.184998,94,102.769997,102.769997,3151700
6/13/2019,ZM,105.099998,105.171997,98.550003,100.949997,100.949997,3189100
6/14/2019,ZM,100.470001,104.57,99.25,100.290001,100.290001,1889300
6/17/2019,ZM,101,102.446999,97,98.110001,98.110001,2128500
6/18/2019,ZM,100.389999,102,97.510002,99.639999,99.639999,2272400
6/19/2019,ZM,100.489998,104.445,98.629997,102.389999,102.389999,2592700
6/20/2019,ZM,105.010002,107.339996,101.621002,102.300003,102.300003,2460700
6/21/2019,ZM,101.419998,101.531998,97.82,100.470001,100.470001,2972500
6/24/2019,ZM,100.849998,101.5,88.879997,89.410004,89.410004,6011200
6/25/2019,ZM,89.43,91.5,84.629997,85.029999,85.029999,3744500
6/26/2019,ZM,87.919998,89.080002,84.605003,86.330002,86.330002,2680000
6/27/2019,ZM,89.699997,92.330002,87.800003,90.269997,90.269997,3019500
6/28/2019,ZM,91.760002,92.199997,87.25,88.790001,88.790001,3228300
7/1/2019,ZM,85.129997,87.790001,83.099998,86.860001,86.860001,5326800
7/2/2019,ZM,86.269997,86.849998,84,85.129997,85.129997,1866000
7/3/2019,ZM,85.449997,90.599998,84.510002,90.449997,90.449997,2706100
7/5/2019,ZM,90.139999,91.970001,88,91.879997,91.879997,2582700
7/8/2019,ZM,91.440002,92.790001,89.889999,90.760002,90.760002,1793300
7/9/2019,ZM,90.269997,91.269997,89.099998,90.93,90.93,1557400
7/10/2019,ZM,91.760002,93.449997,91.550003,92.720001,92.720001,2059300
7/11/2019,ZM,92.900002,93.199997,90.452003,91.400002,91.400002,1784600
7/12/2019,ZM,93.010002,94.93,91.370003,93.300003,93.300003,2689700
7/15/2019,ZM,94,100.650002,93.779999,99.800003,99.800003,3835600
7/16/2019,ZM,100.139999,100.5,96.5,97.099998,97.099998,2120100
7/17/2019,ZM,97.620003,101.987,97.540001,99.730003,99.730003,2314100
7/18/2019,ZM,99.239998,99.5,95.015999,95.190002,95.190002,2035600
7/19/2019,ZM,97.150002,97.790001,92.879997,93.379997,93.379997,1747700
7/22/2019,ZM,94.190002,97.464996,93.504997,96.669998,96.669998,1483000
7/23/2019,ZM,97.5,98.150002,93.519997,97.389999,97.389999,2241700
7/24/2019,ZM,97.120003,97.879997,94.684998,95.940002,95.940002,1283700
7/25/2019,ZM,95.839996,99.599998,95.75,97.110001,97.110001,1870300
7/26/2019,ZM,97.949997,104.489998,97.830002,102.199997,102.199997,3040700
7/29/2019,ZM,102.599998,102.998001,92.099998,96.470001,96.470001,4230300
7/30/2019,ZM,95.190002,99.349998,94.029999,95.489998,95.489998,1635500
7/31/2019,ZM,96.43,97.5,93.5,95.510002,95.510002,1514700
8/1/2019,ZM,95.75,98.660004,93.800003,95.099998,95.099998,1530400
8/2/2019,ZM,94.919998,96,92.566002,93.660004,93.660004,1117100
8/5/2019,ZM,90.699997,91.190002,87.290001,89.690002,89.690002,1774400
8/6/2019,ZM,91.5,92.290001,88.099998,90.43,90.43,1028700
8/7/2019,ZM,89.019997,93.160004,88.019997,92.449997,92.449997,996100
8/8/2019,ZM,93.57,95.839996,93.019997,95.769997,95.769997,925600
8/9/2019,ZM,94.790001,95.489998,93.309998,94.199997,94.199997,800500
8/12/2019,ZM,93.050003,94.18,91.110001,92.160004,92.160004,779300
8/13/2019,ZM,92.059998,96.223,92.059998,95.449997,95.449997,1167200
8/14/2019,ZM,93.199997,94.522003,89.889999,92.650002,92.650002,1265700
8/15/2019,ZM,92.769997,93.440002,89.690002,90.639999,90.639999,1079800
8/16/2019,ZM,92.120003,95,92.080002,92.529999,92.529999,1259300
8/19/2019,ZM,94.18,96.199997,92.889999,93.169998,93.169998,1226000
8/20/2019,ZM,93,93.57,91.139999,91.410004,91.410004,746100
8/21/2019,ZM,92.860001,94.181,92.353996,93.010002,93.010002,760000
8/22/2019,ZM,93.480003,95.5,91.57,93.879997,93.879997,883000
8/23/2019,ZM,93.139999,94.129997,90.410004,91.629997,91.629997,1368400
8/26/2019,ZM,92.330002,93.5,91.449997,91.760002,91.760002,697400
8/27/2019,ZM,92.599998,93.690002,90.440002,91.730003,91.730003,825800
8/28/2019,ZM,91.160004,91.379997,88.710999,90.160004,90.160004,1148300
8/29/2019,ZM,91.5,92.68,90.699997,90.870003,90.870003,851800
8/30/2019,ZM,91.82,92.419998,89.019997,91.669998,91.669998,1186100
9/3/2019,ZM,91.5,94.239998,90.75,92.459999,92.459999,1538900
9/4/2019,ZM,93.949997,96,93.18,93.529999,93.529999,2400700
9/5/2019,ZM,94.239998,94.379997,88.510002,92.690002,92.690002,4991800
9/6/2019,ZM,92,96.5,84.860001,85.410004,85.410004,7289700
9/9/2019,ZM,85.75,85.940002,77.199997,78.650002,78.650002,6713800
9/10/2019,ZM,77,81.221001,76.809998,80.349998,80.349998,2813200
9/11/2019,ZM,80,81.860001,78.5,80.709999,80.709999,2013600
9/12/2019,ZM,81.449997,82.650002,79.900002,81.529999,81.529999,1955100
9/13/2019,ZM,81.57,82.475998,78.269997,78.849998,78.849998,1416800
9/16/2019,ZM,78.5,80.989998,78.260002,80.669998,80.669998,1630100
9/17/2019,ZM,81.489998,84.82,79.529999,84.639999,84.639999,2539900
9/18/2019,ZM,84.400002,86,83.5,84.550003,84.550003,1835400
9/19/2019,ZM,85.199997,85.349998,83.25,84.620003,84.620003,1266600
9/20/2019,ZM,85,85.349998,81.5,82.629997,82.629997,2050100
9/23/2019,ZM,82.290001,83.599998,81.800003,82.620003,82.620003,677000
9/24/2019,ZM,82.43,82.93,79.459999,80.019997,80.019997,2145400
