country,lifeexp,pop,GDP10yr,income,Region,wb_class
Libya,73.1,6420000,5.868571429,24600,Africa,UM
Lithuania,74.7,2930000,5.056428571,24000,Europe,UM
Luxembourg,81.4,567000,2.559642857,89500,Europe,H
Madagascar,63,24200000,2.976785714,1370,Africa,L
Malawi,61.7,16700000,4.658571429,1090,Africa,L
Malaysia,74.6,30300000,5.171214286,22700,Asia_Australia_Pacific,UM
Maldives,81.2,455000,5.975285714,12300,Asia_Australia_Pacific,UM
Mali,61.1,17400000,4.88795,1810,Africa,L
Malta,81.2,434000,1.777,29100,Europe,H
Marshall Islands,64.1,57400,2.454507143,3370,Asia_Australia_Pacific,LM
Mauritania,69.9,4050000,4.724285714,3580,Africa,LM
Mauritius,74.5,1260000,4.446428571,17100,Africa,UM
Mexico,75.9,122000000,2.377142857,16900,Latin America_ Caribbean,UM
"Micronesia, Fed. Sts.",67,109000,1.335571429,3310,Asia_Australia_Pacific,LM
Moldova,71.8,4070000,3.644428571,4980,Europe,LM
Mongolia,68.6,3000000,7.792142857,9750,Asia_Australia_Pacific,LM
Montenegro,76.4,627000,3.846428571,14100,Europe,UM
Morocco,73.5,34700000,4.056071429,6810,Africa,LM
Mozambique,56.2,27000000,7.758571429,1030,Africa,L
Myanmar,67.8,52700000,4.916564286,4110,Asia_Australia_Pacific,L
Namibia,65.5,2310000,4.645,9250,Africa,UM
Nepal,69.6,27000000,3.859285714,2160,Asia_Australia_Pacific,L
Netherlands,81.5,16900000,1.279071429,45900,Europe,H
New Zealand,81.5,4610000,2.416071429,33300,Asia_Australia_Pacific,H
Nicaragua,78.1,6220000,2.73715,4380,Latin America_ Caribbean,LM
Niger,61.3,20000000,4.866,860,Africa,L
Nigeria,63.4,181000000,8.211428571,5290,Africa,LM
North Korea,71.6,25200000,0.746769231,1730,Asia_Australia_Pacific,L
North Macedonia,76.5,2080000,2.5485,11500,Europe,UM
Norway,82.3,5200000,1.638357143,63000,Europe,H
Oman,76.4,4270000,4.768664286,42600,Asia_Australia_Pacific,H
Pakistan,66,199000000,3.949714286,4150,Asia_Australia_Pacific,LM
Panama,78.9,3970000,6.797071429,18500,Latin America_ Caribbean,UM
Papua New Guinea,57.9,8110000,4.195357143,3150,Asia_Australia_Pacific,LM
Paraguay,75.8,6690000,3.532571429,9830,Latin America_ Caribbean,LM
Peru,80,30500000,5.056035714,11200,Latin America_ Caribbean,UM
Philippines,69.2,102000000,5.127142857,5970,Asia_Australia_Pacific,LM
Poland,77.5,38000000,3.570714286,23200,Europe,H
Portugal,81.5,10400000,0.429892857,25800,Europe,H
Qatar,79.9,2570000,12.76585714,120000,Asia_Australia_Pacific,H
Romania,75.1,19900000,3.443214286,18400,Europe,UM
Russia,71.3,145000000,4.946428571,25200,Europe,UM
Rwanda,67.7,11400000,7.821142857,1560,Africa,L
Samoa,72.7,194000,2.511428571,5650,Asia_Australia_Pacific,LM
Sao Tome and Principe,70.3,199000,4.044857143,2640,Africa,LM
Saudi Arabia,76.2,31700000,5.074714286,49500,Asia_Australia_Pacific,H
Senegal,67.5,14600000,4.09,2800,Africa,LM
Serbia,75.1,8880000,2.866928571,13700,Europe,UM
Seychelles,73.5,95000,2.659357143,22600,Africa,UM
Sierra Leone,58.5,7170000,9.749285714,1410,Africa,L
Singapore,84.4,5590000,5.355,77500,Asia_Australia_Pacific,H
Slovak Republic,76.7,5440000,3.850357143,26200,Europe,H
Slovenia,80.8,2070000,2.000214286,28000,Europe,H
Solomon Islands,62.8,603000,2.531428571,2100,Asia_Australia_Pacific,LM
Somalia,58.3,13800000,2.589285714,616,Africa,L
South Africa,63.4,55400000,3.434285714,12300,Africa,UM
South Korea,82.3,50800000,3.655285714,31800,Asia_Australia_Pacific,H
Spain,82.6,46700000,2.378214286,31100,Europe,H
Sri Lanka,76.9,20900000,5.901428571,9980,Asia_Australia_Pacific,LM
St. Lucia,75.5,179000,2.200285714,11900,Latin America_ Caribbean,UM
St. Vincent and the Grenadines,72,109000,1.648785714,10100,Latin America_ Caribbean,UM
Sudan,69.6,38900000,6.265714286,4070,Africa,LM
Suriname,71.9,559000,5.097142857,15000,Latin America_ Caribbean,UM
Sweden,82.2,9760000,2.297,43400,Europe,H
Switzerland,83.5,8300000,1.569142857,56200,Europe,H
Syria,67.3,18000000,3.269615385,4830,Asia_Australia_Pacific,LM
Tajikistan,70.2,8450000,6.955,2360,Asia_Australia_Pacific,L
Tanzania,65.6,51500000,6.854285714,2360,Africa,L
Thailand,78.2,68700000,4.387857143,14500,Asia_Australia_Pacific,UM
Timor-Leste,70.7,1200000,7.431428571,10200,Asia_Australia_Pacific,LM
Togo,62.8,7320000,2.906857143,1340,Africa,L
Tonga,71.5,101000,0.911428571,5240,Asia_Australia_Pacific,LM
Trinidad and Tobago,74.4,1370000,4.641,31200,Latin America_ Caribbean,H
Tunisia,77.9,11200000,3.824285714,10400,Africa,UM
Turkey,78.3,78500000,4.250357143,20300,Asia_Australia_Pacific,UM
Turkmenistan,69.8,5570000,8.739285714,12200,Asia_Australia_Pacific,LM
Uganda,64.5,38200000,6.23,1690,Africa,L
Ukraine,69.2,44900000,3.96215,8320,Europe,LM
United Arab Emirates,73.1,9260000,9.029428571,57900,Asia_Australia_Pacific,H
United Kingdom,81,65900000,1.697785714,37100,Europe,H
United States,78.8,321000000,1.921285714,50600,North America,H
Uruguay,77,3410000,3.202142857,18600,Latin America_ Caribbean,UM
Uzbekistan,69.9,30900000,6.425714286,4770,Asia_Australia_Pacific,LM
Vanuatu,64.4,271000,2.695714286,2880,Asia_Australia_Pacific,LM
Venezuela,75,30100000,3.649285714,18000,Latin America_ Caribbean,UM
Vietnam,74.3,92700000,6.782857143,4860,Asia_Australia_Pacific,LM
Yemen,68.6,26500000,3.033571429,3860,Asia_Australia_Pacific,LM
Zambia,62,15900000,5.619285714,3570,Africa,LM
Zimbabwe,59.6,13800000,-2.005,2490,Africa,L
