sale_price,sq_ft,acreage
274000,1797,0.14
299000,2084,0.17
355500,2400,0.15
375000,2446,0.22
260000,1957,0.13
435000,3172,0.19
450000,3431,0.5
317500,1927,0.14
330000,2382,0.15
428300,2640,0.24
616700,3387,0.31
319100,1927,0.14
248300,1695,0.18
680000,4414,0.43
278000,1956,0.1
150000,3719,0.19
215000,1358,0.13
339900,2855,0.16
667500,3963,0.35
555000,3265,0.66
499900,3834,0.15
324900,2630,0.27
565000,3740,0.39
717900,3679,0.51
255000,1691,0.13
318000,2172,0.14
239000,1805,0.19
278000,2281,0.22
325000,2118,0.3
290000,2148,0.1
273000,2011,0.13
564200,2640,0.22
325000,2016,0.19
312000,2068,0.26
271000,1901,0.11
337000,2300,0.15
412500,2621,0.17
455000,2987,0.25
535000,3714,0.39
385000,2568,0.51
549900,2980,0.7
350000,2431,0.16
340000,2472,0.2
285000,2004,0.21
375000,3175,0.22
530000,3358,0.37
248400,2977,0.23
519900,3697,0.51
355000,2458,0.16
485000,3307,0.26
279000,1722,0.15
303000,1975,0.15
409000,3058,0.17
353900,1927,0.2
467100,2640,0.21
567000,3685,0.3
375000,2828,0.35
590000,3944,0.43
274000,2022,0.1
309000,1916,0.14
317900,1939,0.16
356500,3214,0.14
720600,4105,0.39
740000,4928,0.39
349900,2314,0.2
321000,2360,0.19
340000,2059,0.17
513800,4110,0.36
310000,2226,0.18
388000,3256,0.25
575000,2847,0.74
272000,2617,0.1
320100,1927,0.14
375000,2136,0.26
240000,1644,0.11
312200,1905,0.14
325000,2660,0.2
535000,4114,0.51
320000,2972,0.17
357000,2924,0.21
510000,3503,0.35
288000,2779,0.38
355000,2380,0.52
583500,3919,0.55
330000,2574,0.12
248500,1776,0.22
339000,2338,0.38
277000,1930,0.14
585000,3884,0.61
383000,2758,0.17
272000,1824,0.17
324000,2170,0.27
302500,2220,0.16
438000,2761,0.28
256000,1676,0.16
346000,2666,0.18
484000,3675,0.4
274000,2144,0.13
235000,1857,0.11
275500,1769,0.14
209000,1295,0.16
280000,2082,0.41
285000,2189,0.24
385000,2873,0.16
495000,2970,0.21
310000,2466,0.18
423400,2650,0.18
321500,1905,0.19
315000,2172,0.29
520000,3798,0.38
466000,2724,0.51
452500,3158,0.66
369000,2640,0.16
328000,2196,0.18
347000,2923,0.2
377000,3084,0.21
487000,3068,0.22
558000,3459,0.35
279000,2051,0.23
565000,3518,0.32
470000,2901,0.25
309000,2145,0.26
308100,2813,0.1
265000,1816,0.14
375000,2736,0.15
70000,4484,1.03
337500,2526,0.19
215000,1270,0.14
278000,2161,0.14
360000,2844,0.15
403000,2431,0.16
610000,4284,0.34
325100,1939,0.14
381900,3716,0.35
787500,3457,0.43
278800,1769,0.14
292300,2204,0.15
265000,1874,0.18
465000,2841,0.29
392200,2420,0.16
340000,2895,0.2
385000,2744,0.2
315000,2178,0.27
365000,2490,0.22
469000,3054,0.27
279500,2358,0.2
300000,2293,0.3
450000,3428,0.58
205000,1358,0.12
245000,1570,0.18
370000,2464,0.19
486000,3715,0.21
345000,2658,0.17
350000,2684,0.23
375000,2046,0.18
290000,2261,0.22
879900,4771,0.36
200000,1349,0.12
265000,1783,0.15
270000,2157,0.15
350000,2610,0.2
364200,1927,0.23
260000,1741,0.25
200000,2130,0.43
215000,1440,0.13
408100,2640,0.16
300000,2904,0.21
451000,2869,0.24
560000,3315,0.59
890000,5499,0.65
299800,1939,0.13
294500,2010,0.17
495000,3418,0.22
287000,2121,0.24
837500,4287,0.37
250000,2229,0.21
540000,3567,0.35
318000,2547,0.1
407500,3019,0.15
539900,3062,0.5
395000,3282,0.18
340100,3491,0.33
